ticker,company_name,sector,industry,market_cap,country,exchange,yahoo_ticker,stock_id,is_active
ENRIN.NS,Siemens Energy India Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,ENRIN.NS,77,True
SIEMENS.NS,Siemens Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,SIEMENS.NS,78,True
SOLARINDS.NS,Solar Industries India Ltd.,Chemicals,Chemicals,Large Cap,India,NSE,SOLARINDS.NS,79,True
SBIN.NS,State Bank of India,Financial Services,Financial Services,Large Cap,India,NSE,SBIN.NS,80,True
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,SUNPHARMA.NS,81,True
TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,TVSMOTOR.NS,82,True
TATACAP.NS,Tata Capital Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,TATACAP.NS,83,True
TCS.NS,Tata Consultancy Services Ltd.,Information Technology,Information Technology,Large Cap,India,NSE,TCS.NS,84,True
TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,TATACONSUM.NS,85,True
TMCV.NS,Tata Motors Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,TMCV.NS,86,True
TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,TMPV.NS,87,True
TATAPOWER.NS,Tata Power Co. Ltd.,Power,Power,Large Cap,India,NSE,TATAPOWER.NS,88,True
TATASTEEL.NS,Tata Steel Ltd.,Metals & Mining,Metals & Mining,Large Cap,India,NSE,TATASTEEL.NS,89,True
TECHM.NS,Tech Mahindra Ltd.,Information Technology,Information Technology,Large Cap,India,NSE,TECHM.NS,90,True
TITAN.NS,Titan Company Ltd.,Consumer Durables,Consumer Durables,Large Cap,India,NSE,TITAN.NS,91,True
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,TORNTPHARM.NS,92,True
TRENT.NS,Trent Ltd.,Consumer Services,Consumer Services,Large Cap,India,NSE,TRENT.NS,93,True
ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials,Construction Materials,Large Cap,India,NSE,ULTRACEMCO.NS,94,True
UNIONBANK.NS,Union Bank of India,Financial Services,Financial Services,Large Cap,India,NSE,UNIONBANK.NS,95,True
UNITDSPR.NS,United Spirits Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,UNITDSPR.NS,96,True
VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,VBL.NS,97,True
VEDL.NS,Vedanta Ltd.,Metals & Mining,Metals & Mining,Large Cap,India,NSE,VEDL.NS,98,True
WIPRO.NS,Wipro Ltd.,Information Technology,Information Technology,Large Cap,India,NSE,WIPRO.NS,99,True
ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,ZYDUSLIFE.NS,100,True
360ONE.NS,360 ONE WAM Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,360ONE.NS,101,True
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,APLAPOLLO.NS,102,True
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,AUBANK.NS,103,True
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Large Cap,India,NSE,ATGL.NS,104,True
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,ABCAPITAL.NS,105,True
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,ALKEM.NS,106,True
ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,ASHOKLEY.NS,107,True
ASTRAL.NS,Astral Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,ASTRAL.NS,108,True
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,AUROPHARMA.NS,109,True
BSE.NS,BSE Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,BSE.NS,110,True
BANKINDIA.NS,Bank of India,Financial Services,Financial Services,Large Cap,India,NSE,BANKINDIA.NS,111,True
BDL.NS,Bharat Dynamics Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,BDL.NS,112,True
BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,BHARATFORG.NS,113,True
BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,BHEL.NS,114,True
GROWW.NS,Billionbrains Garage Ventures Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,GROWW.NS,115,True
BIOCON.NS,Biocon Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,BIOCON.NS,116,True
BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,Consumer Durables,Large Cap,India,NSE,BLUESTARCO.NS,117,True
COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,COCHINSHIP.NS,118,True
COFORGE.NS,Coforge Ltd.,Information Technology,Information Technology,Large Cap,India,NSE,COFORGE.NS,119,True
COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,COLPAL.NS,120,True
CONCOR.NS,Container Corporation of India Ltd.,Services,Services,Large Cap,India,NSE,CONCOR.NS,121,True
COROMANDEL.NS,Coromandel International Ltd.,Chemicals,Chemicals,Large Cap,India,NSE,COROMANDEL.NS,122,True
DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,DABUR.NS,123,True
DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Large Cap,India,NSE,DIXON.NS,124,True
EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,EXIDEIND.NS,125,True
NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,Consumer Services,Large Cap,India,NSE,NYKAA.NS,126,True
FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,FEDERALBNK.NS,127,True
FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,FORTIS.NS,128,True
GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,GVT&D.NS,129,True
GMRAIRPORT.NS,GMR Airports Ltd.,Services,Services,Large Cap,India,NSE,GMRAIRPORT.NS,130,True
